Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
Various services,Information relating to social service and referrals to appropriate services; casework & counselling; therapeutic groupwork,@27 Family Service Centre,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,https://www.27fsc.org.sg/,Families,Counselling,Low Income
Various services,Information relating to social service and referrals to appropriate services; casework & counselling; therapeutic groupwork,@27 Family Service Centre,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,https://www.27fsc.org.sg/,Families,Counselling,Family
Various services,Information relating to social service and referrals to appropriate services; casework & counselling; therapeutic groupwork,@27 Family Service Centre,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,https://www.27fsc.org.sg/,Families,Casework,Low Income
Various services,Information relating to social service and referrals to appropriate services; casework & counselling; therapeutic groupwork,@27 Family Service Centre,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,https://www.27fsc.org.sg/,Families,Casework,Family
Financial Assistance,"Cancer treatment can place a heavy financial burden on patients and their family members. Besides being a place where one can find emotional support and be educated on how to improve oneís health and immunity, 365CPS also provides aid to low-income cancer patients to help meet their daily needs.",365 Cancer Prevention Society (365CPS),https://chidnast.sirv.com/SchemesSG/365cps.jpg,https://365cps.org.sg/portfolio/financial-support/,Cancer patients,Financial assistance for cancer treatment,Low Income
Financial Assistance,"Cancer treatment can place a heavy financial burden on patients and their family members. Besides being a place where one can find emotional support and be educated on how to improve oneís health and immunity, 365CPS also provides aid to low-income cancer patients to help meet their daily needs.",365 Cancer Prevention Society (365CPS),https://chidnast.sirv.com/SchemesSG/365cps.jpg,https://365cps.org.sg/portfolio/financial-support/,Cancer patients,Financial assistance for cancer treatment,Healthcare
Food Assistance,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,A Packet of Rice,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,https://www.facebook.com/APacketOfRice/,Low income,Food,Low Income
Food Assistance,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,A Packet of Rice,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,https://www.facebook.com/APacketOfRice/,Low income,Food,Food
Food Assistance,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,A Packet of Rice,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,https://www.facebook.com/APacketOfRice/,Need food support,Food,Low Income
Food Assistance,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,A Packet of Rice,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,https://www.facebook.com/APacketOfRice/,Need food support,Food,Food
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Occupational therapy,PWD
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Occupational therapy,Family
