Title,Agency,Description,Who's it for,What it gives,Link,Background Image Link,Scheme Type,search_booster(WL)
Caregiver Training Program,Caregivers Alliance,Provides training to caregivers of persons with mental health issues,Caregivers,Educational programmes for caregivers,https://www.cal.org.sg/caregiver-training,https://chidnast.sirv.com/SchemesSG/CAL.jpg,"Caregiver,Mental Health",Caregivers feeling overwhelmed. Burnout. Elderly parent. Stress. Depressed. Cannot cope anymore.
Caregivers Support Centre,Caregivers Alliance,Provides support to caregivers of persons with mental health issues,Caregivers,Emotional care,https://www.cal.org.sg/caregivers-support-centre,https://chidnast.sirv.com/SchemesSG/CAL.jpg,"Caregiver,Mental Health",Caregivers feeling overwhelmed. Burnout. Elderly parent. Stress. Depressed. Cannot cope anymore.
Family LifeAid,Red Cross Singapore,"Identified households receive food vouchers every month. Households will benefit from supplementary support, such as storytelling, tutoring of young children and helping the seniors with household chores. This will provide the opportunity for the children to advance in life. In addition, periodic reviews and assessments are carried out to monitor improvement or change in the family’s conditions, and to ensure that the dire needs of the families are met with the programme.","Low income,Need food support","Financial assistance,Food,Educational programmes",https://www.redcross.sg/get-assistance/family-lifeaid.html,https://chidnast.sirv.com/SchemesSG/redcross.jpg,"Low Income,Food,Education","My client needs help to get food, meal, hungry, have not eaten for days. Child needs tuition but no money. Need childcare. Elderly need help with household chores."
Food Assistance,A Packet of Rice,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,"Low income,Need food support",Food,https://www.facebook.com/APacketOfRice/,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,"Low Income,Food","My client needs help to get food, meal, hungry, have not eaten for days. Child needs food."
Assistance,Filos Community Services,"Bursaries, bread distribution and food rations, groceries and festive goodies, referral and counselling servies.","Low income,Need food support","Food,Counselling",https://www.filos.sg/services-assistance,https://chidnast.sirv.com/SchemesSG/filos.jpg,"Low Income,Food","Need to buy daily necessities, food, have not eaten, hungry, Need befriending, isolation"
Assistance,Yayasan MENDAKI,"Various education subsidies, bursaries, study loans, scholarships, sponsorships and awards.","Low income,Need education assistance,Need food support","Financial assistance,Food,Educational programmes",https://www.mendaki.org.sg/assistance-landing/,https://chidnast.sirv.com/SchemesSG/mendaki.jpg,"Low Income,Education","Preschool, tuition fee, NITEC, polytechnic, Malay Muslim students, university, tertiary, study loan"
Assistance for Kidney Patients,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"The programme provides assistance to needy kidney patients regardless of race and religion, and is available to both Singapore Citizens and Permanent Residents. Patients may apply for the assistance through medical social workers, and each case will be assessed by a Tzu Chi home visit team. Tzu Chi also provides transport allowances for patients with mobility problems who are unable to afford the transport costs of travelling between their home and the dialysis centre. Home visit teams will make care visits to beneficiary patients once a month, to monitor their health conditions as well as to give them moral support. Patients who are in need of further financial aid will be referred to the Foundation.",Kidney patients,"Financial assistance for dialysis,Transport subsidy",https://www.tzuchi.org.sg/en/our-missions/charity/assistance-for-kidney-patients/,https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,Healthcare,"dialysis, renal"
Assistive Technology Fund,SGEnable,"Subsidies for persons with disabilities (PWDs) to purchase assistive technology devices to enable independent living.Successful applicants qualify for a means-tested subsidy of up to 90% of the cost of the required equipment, subject to a lifetime cap of $40,000.","PWDs,Caregivers",Financial assistance for assistive technology,https://www.sgenable.sg/pages/content.aspx?path=/schemes/equipment-technology-home-retrofit/assistive-technology-fund/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Transport,Tech","Need money to buy wheelchair, hearing aid, defribillator, nebuliser"
Baby Bonus Scheme - Cash Gift,Ministry of Social and Family Development (MSF),Cash gift to defray the cost of raising and caregiving for your newborn child during the early years.,New parents,Financial assistance,https://www.babybonus.msf.gov.sg/wp-content/parent/documents/MSF_BabyBonus_Booklet_FA_Highres.pdf,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Family,Childcare,Caregiver","We are new parents, firstborn, child"
"Cancer Care Fund, Welfare Aid Fund, Cancer Treatment Fund",Singapore Cancer Society,"The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis.The Welfare Aid fund provides temporary financial assistance and/or medical supplies to enhance the well-being of needy cancer patients. Medical supplies include the supply of milk, diapers, medical dressings, stoma bags and other medical equipment. The Cancer Treatment Fund provides financial assistance to needy cancer patients to subsidise part of their cancer treatment costs.","Cancer patients,Caregivers",Financial assistance for cancer patients,https://www.singaporecancersociety.org.sg/get-help/cancer-patient/financial-assistance-schemes/apply-for-financial-assistance.html,https://chidnast.sirv.com/SchemesSG/scs.jpg,Healthcare,"oncologist, radiology"
Car Park Label Scheme For Persons With Physical Disabilities,SGEnable,Car Park Label Scheme provides persons with physical disabilities or their caregivers with access to designated disabled parking spaces so that they can open the vehicle doors fully to board or alight from the vehicle.,"PWDs,Caregivers",Car park label for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/schemes/accessibility/car-park-label-scheme-for-persons-with-physical-disabilities,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"Elderly,Caregiver,Transport","Caregiver transporting elderly around, need convenient transport."
Care for Family Fund,Action for AIDS (AFA),"Many people who are diagnosed with HIV will lose their jobs. Besides providing support to those directly impacted, we also recognise that support needs to reach caregivers or affected family and loved ones. This is subsidy is disbursed on an annual basis.","HIV patients,Caregivers",Financial assistance for HIV patients,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-4,https://chidnast.sirv.com/SchemesSG/afa.jpg,"Healthcare,Family","Contracted AIDS unable to work, face stigma from AIDS, HIV positive"
Career Matching Services,Workforce Singapore (WSG),"Access to quick career tips, career advice and guidance. MyCareersFuture portal to help you search and apply for jobs that match your skills. Career preparatory workshops, networking sessions and walk-in interviews to improve your job search chances.","Retrenched,In need of employment",Employment assistance,https://www.wsg.gov.sg/career-services.html,https://chidnast.sirv.com/SchemesSG/wsg.jpg,Work,"In need of a job, need to find a job fast. Jobless. Retrenched. Furloughed. Requires skills training."
Caregivers Training Grant (CTG),Agency for Integrated Care (AIC),Helps caregivers defray the cost of attending training to acquire the necessary knowledge and skills for better caregiving,Caregivers,Financial assistance for caregiving training,https://aic.sg/financial-assistance/caregivers-training-grant,https://chidnast.sirv.com/SchemesSG/aic.jpg,"Elderly,Caregiver",Caregivers feeling overwhelmed. Burnout. Elderly parent. Stress. Depressed. Cannot cope anymore. Don't have enough knowledge on caring for elderly parents. Parents dementia. Diabetes. Chronic illnesses
CDAC-SFCCA Hardship Assistance Fund,"Chinese Development Assistance Council (CDAC), Singapore Federation of Chinese Clan Associations (SFCCA)",Short-term financial assistance to individuals who are facing financial hardship.,"Low income,Facing financial hardship,Chinese",Financial assistance,https://www.cdac.org.sg/supporting-families/hardship-assistance-scheme/,https://chidnast.sirv.com/SchemesSG/cdac-sfcca.jpg,Low Income,"Need money for daily needs, low income, poor"
Childcare & Infant Care Subsidy,Early Childhood Development Agency (ECDA),Subsidy to assist with defraying preschool expenses for Singaporean children,Children,Financial assistance for education,https://www.ecda.gov.sg/Pages/Subsidies-and-Financial-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/ecda.jpg,"Caregiver,Childcare","Preschool, school fee, kindergarten, nursery, books"
ComCare Interim Assistance,Ministry of Social and Family Development (MSF),Urgent ComCare Assistance for those requiring immediate help for less than 3 months.,"Low income,Facing financial hardship",Financial assistance,https://www.msf.gov.sg/Comcare/Pages/Urgent-Financial-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Family,Low Income","Need money for daily needs, low income, poor"
ComCare Long Term Assistance,Ministry of Social and Family Development (MSF),Long-term ComCare assistance for those who are permanently unable to work.,"Low income,Unable to work",Financial assistance,https://www.msf.gov.sg/Comcare/Pages/Public-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Family,Low Income","Need money for daily needs, low income, poor"
ComCare Short-To-Medium-Term Assistance,Ministry of Social and Family Development (MSF),"Short to medium term assistance for those unable to find a job or work for a period of time and as a result, household needs financial help for a temporary period.",Low income,Financial assistance,https://www.msf.gov.sg/Comcare/Pages/Short-to-Medium-Term-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Family,Low Income","Need money for daily needs, low income, poor"
Comcare Student Care Fee Assistance (SCFA),Ministry of Social and Family Development (MSF),"Assistance for student are fees, for low-income households with children attending MSF-registered student care centres.","Low income,Households with children attending student care",Financial assistance for student care,https://www.msf.gov.sg/Comcare/Pages/ComCare-Student-Care-Subsidies.aspx,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Low Income,Family,Childcare,Student Care","Need money for childcare, student care, daily needs, low income, poor"
Community Health Assist Scheme,Ministry of Health (MOH),"Enables Singapore Citizens from lower- to middle-income households, and all Pioneers, to receive subsidies for medical & dental care at participating General Practitioners (GP) & dental clinics near their home.","Low income,Families,Elderly",Financial assistance for healthcare,https://chas.moh.gov.sg/Home/Welcome,https://chidnast.sirv.com/SchemesSG/MOH.jpg,"Healthcare,Family,Elderly","Low income, need money to see doctor, private clinic"
